name,country,company,percent_shares
[BHP Group PLC - UK] BlackRock Investment Management (UK) Ltd.,UK,BHP,1.14%
[BHP Group PLC - UK] Industrial Development Corporation of South Africa Limited (IDC),South Africa,BHP,1.11%
"[BHP Group PLC - UK] Alecta pensionsförsäkring, ömsesidigt",Sweden,BHP,1.08%
[BHP Group PLC - UK] SAFE Investment Company Limited,Hong Kong,BHP,1.02%
[BHP Group PLC - UK] Fidelity Management & Research Company,USA,BHP,0.98%
[BHP Group PLC - UK] Aviva Investors Global Services Limited,UK,BHP,0.83%
[BHP Group PLC - UK] BlackRock Advisors (UK) Limited,UK,BHP,0.77%
[BHP Group PLC - UK] Aberdeen Standard Investments (Edinburgh),UK,BHP,0.73%
[BHP Group PLC - UK] Baillie Gifford & Co.,UK,BHP,0.71%
[BHP Group PLC - UK] M & G Investment Management Ltd.,UK,BHP,0.70%
[BHP Group PLC - UK] State Farm Insurance Companies,USA,BHP,0.69%
[BHP Group PLC - UK] JPMorgan Asset Management U.K. Limited,UK,BHP,0.64%
[BHP Group PLC - UK] Schweizerische Nationalbank,Switzerland,BHP,0.52%
[BHP Group PLC - UK] State Street Global Advisors (US),USA,BHP,0.52%
"[BHP Group PLC - UK] T. Rowe Price Associates, Inc.",USA,BHP,0.51%
"[BHP Group PLC - UK] Geode Capital Management, L.L.C.",USA,BHP,0.40%
"[BHP Group PLC - UK] Sprucegrove Investment Management, Ltd.",Canada,BHP,0.40%
[BHP Group PLC - UK] GIC Private Limited,Singapore,BHP,0.39%
[BHP Group PLC - UK] UBS Asset Management (UK) Ltd.,UK,BHP,0.38%
[BHP Group PLC - UK] Royal London Asset Management Ltd.,UK,BHP,0.38%
"[BHP Group PLC - UK] State Street Global Advisors (Japan) Co., Ltd.",Japan,BHP,0.37%
"[BHP Group PLC - UK] Arrowstreet Capital, Limited Partnership",USA,BHP,0.37%
[BHP Group PLC - UK] The National Farmers Union Mutual Insurance Society Limited,UK,BHP,0.37%
"[BHP Group PLC - UK] AQR Capital Management, LLC",USA,BHP,0.32%
[BHP Group PLC - UK] Wellcome Trust,UK,BHP,0.31%
[BHP Group PLC - UK] Sanlam Investment Management (Pty) Ltd.,South Africa,BHP,0.29%
[BHP Group PLC - UK] UBS Asset Management (Switzerland),Switzerland,BHP,0.25%
"[BHP Group PLC - UK] Northern Trust Investments, Inc.",USA,BHP,0.24%
"[BHP Group PLC - UK] Franklin Advisers, Inc.",USA,BHP,0.24%
[BHP Group PLC - UK] Nuveen LLC,USA,BHP,0.23%
[BHP Group PLC - UK] HSBC Global Asset Management (UK) Limited,UK,BHP,0.23%
[BHP Group PLC - UK] Allan Gray Proprietary Limited,South Africa,BHP,0.22%
[BHP Group PLC - UK] California Public Employees' Retirement System,USA,BHP,0.22%
[BHP Group PLC - UK] Ostrum Asset Management,France,BHP,0.21%
[BHP Group PLC - UK] West Yorkshire Pension Fund,UK,BHP,0.21%
[BHP Group PLC - UK] Investec Asset Management (Pty) Ltd.,South Africa,BHP,0.20%
[BHP Group PLC - UK] Newton Investment Management Ltd.,UK,BHP,0.20%
[BHP Group PLC - UK] Vanguard Investments Singapore Pte. Ltd._NLE,Singapore,BHP,0.20%
"[BHP Group PLC - UK] Charles Schwab Investment Management, Inc.",USA,BHP,0.18%
[BHP Group PLC - UK] ODDO BHF Trust GmbH,Germany,BHP,0.17%
[BHP Group PLC - UK] INVESCO Asset Management Deutschland GmbH,Germany,BHP,0.17%
[BHP Group PLC - UK] BlackRock Fund Advisors,USA,BHP,0.16%
[BHP Group PLC - UK] Deka Investment GmbH,Germany,BHP,0.16%
[BHP Group PLC - UK] Majedie Asset Management Limited,UK,BHP,0.16%
[BHP Group PLC - UK] APG Asset Management N.V.,Netherlands,BHP,0.16%
[BHP Group PLC - UK] BlackRock Asset Management Deutschland AG,Germany,BHP,0.15%
[BHP Group PLC - UK] Florida State Board of Administration,USA,BHP,0.15%
[BHP Group PLC - UK] DZ PRIVATBANK S.A.,Luxembourg,BHP,0.14%
[BHP Group PLC - UK] National Pension Service,South Korea,BHP,0.13%
[BHP Group PLC - UK] Marathon Asset Management LLP,UK,BHP,0.12%
[BHP Group PLC - UK] Allianz Global Investors GmbH,Germany,BHP,0.12%
[BHP Group PLC - UK] Northern Trust Global Investments Limited,UK,BHP,0.12%
[BHP Group PLC - UK] Jupiter Asset Management Ltd.,UK,BHP,0.12%
[BHP Group PLC - UK] RWC Partners Limited,UK,BHP,0.12%
[BHP Group PLC - UK] Old Mutual Investment Group (South Africa) (Pty) Limited,South Africa,BHP,0.12%
"[BHP Group PLC - UK] Mizuho Trust & Banking Co., Ltd.",Japan,BHP,0.12%
[BHP Group PLC - UK] Ellerston Capital Limited,Australia,BHP,0.12%
[BHP Group PLC - UK] Prudential Portfolio Managers (South Africa) (Pty) Ltd,South Africa,BHP,0.11%
[BHP Group PLC - UK] Investec Wealth & Investment Limited,UK,BHP,0.11%
[BHP Group PLC - UK] Aberdeen Asset Managers Ltd.,UK,BHP,0.11%
[BHP Group PLC - UK] MN Services N.V.,Netherlands,BHP,0.11%
[BHP Group PLC - UK] Ivy Investment Management Company,USA,BHP,0.11%
[BHP Group PLC - UK] INVESCO Asset Management Limited,UK,BHP,0.11%
[BHP Group PLC - UK] Fisher Investments,USA,BHP,0.10%
[BHP Group PLC - UK] Cambiar Investors LLC,USA,BHP,0.10%
"[BHP Group PLC - UK] BlackRock Financial Management, Inc.",USA,BHP,0.10%
[BHP Group PLC - UK] Bank Vontobel AG (Private Banking),Switzerland,BHP,0.10%
[BHP Group PLC - UK] Kames Capital,UK,BHP,0.10%
[BHP Group PLC - UK] California State Teachers Retirement System,USA,BHP,0.10%
[BHP Group PLC - UK] GLG Partners LP,UK,BHP,0.10%
[BHP Group PLC - UK] Eurizon Capital SGR S.p.A.,Italy,BHP,0.10%
[BHP Group PLC - UK] Goldman Sachs Asset Management International,UK,BHP,0.10%
[BHP Group PLC - UK] STANLIB Asset Management Ltd.,South Africa,BHP,0.10%
[BHP Group PLC - UK] Citadel Asset Management,South Africa,BHP,0.09%
"[BHP Group PLC - UK] Lazard Asset Management, L.L.C.",USA,BHP,0.09%
[BHP Group PLC - UK] Franklin Templeton Fund Management Limited,UK,BHP,0.09%
[BHP Group PLC - UK] Zürcher Kantonalbank (Asset Management),Switzerland,BHP,0.09%
[BHP Group PLC - UK] Landesbank Baden-Württemberg,Germany,BHP,0.09%
[BHP Group PLC - UK] Santander Asset Management UK Limited,UK,BHP,0.09%
[BHP Group PLC - UK] Investec Asset Management Ltd.,UK,BHP,0.08%
"[BHP Group PLC - UK] Dimensional Fund Advisors, L.P.",USA,BHP,0.08%
[BHP Group PLC - UK] Foord Asset Management (Pty) Limited,South Africa,BHP,0.08%
[BHP Group PLC - UK] United Nations Joint Staff Pension Fund,USA,BHP,0.08%
[BHP Group PLC - UK] Vanguard Global Advisers LLC,USA,BHP,0.08%
[BHP Group PLC - UK] Fairtree Asset Management (Pty) Ltd,South Africa,BHP,0.07%
[BHP Group PLC - UK] Wesleyan Assurance Society,UK,BHP,0.07%
[BHP Group PLC - UK] Abax Investments (Pty) Limited,South Africa,BHP,0.07%
[BHP Group PLC - UK] Irish Life Investment Managers Ltd.,Ireland,BHP,0.07%
"[BHP Group PLC - UK] Sumitomo Mitsui Trust Asset Management Co., Ltd.",Japan,BHP,0.07%
[BHP Group PLC - UK] Lazard Frères Gestion S.A.S.,France,BHP,0.06%
[BHP Group PLC - UK] Credit Suisse Asset Management,Switzerland,BHP,0.06%
[BHP Group PLC - UK] BAE Systems Pension Funds Investment Management Ltd.,UK,BHP,0.06%
[BHP Group PLC - UK] Teacher Retirement System of Texas,USA,BHP,0.06%
[BHP Group PLC - UK] New Jersey Division of Investment,USA,BHP,0.06%
"[BHP Group PLC - UK] BlackRock Japan Co., Ltd.",Japan,BHP,0.06%
[BHP Group PLC - UK] PSP Investments,Canada,BHP,0.06%
[BHP Group PLC - UK] Momentum Asset Management (Pty) Ltd.,South Africa,BHP,0.06%
[BHP Group PLC - UK] Tredje AP Fonden,Sweden,BHP,0.05%
[BHP Group PLC - UK] Morgan Stanley Investment Management Ltd. (UK),UK,BHP,0.05%
[BHP Group PLC - UK] Lyxor Asset Management,France,BHP,0.05%
[BHP Group PLC - UK] Fidelity Institutional Asset Management,USA,BHP,0.05%
[BHP Group PLC - UK] Ohio Public Employees Retirement System,USA,BHP,0.05%
[BHP Group PLC - UK] Fidelity International,UK,BHP,0.05%
"[BHP Group PLC - UK] Dimensional Fund Advisors, Ltd.",UK,BHP,0.05%
[BHP Group PLC - UK] J O Hambro Capital Management Limited,UK,BHP,0.05%
[BHP Group PLC - UK] Mitsubishi UFJ Trust and Banking Corporation,Japan,BHP,0.05%
[BHP Group PLC - UK] Smith & Williamson Investment Management LLP,UK,BHP,0.05%
[BHP Group PLC - UK] Alliance Trust Plc.,UK,BHP,0.04%
[BHP Group PLC - UK] 10X Investments (Pty) Ltd.,South Africa,BHP,0.04%
[BHP Group PLC - UK] Topdanmark Forsikring A/S,Denmark,BHP,0.04%
[BHP Group PLC - UK] Mackenzie Investments Europe Limited,Ireland,BHP,0.04%
[BHP Group PLC - UK] BMO Global Asset Management,UK,BHP,0.04%
[BHP Group PLC - UK] LGPS Central Limited,UK,BHP,0.04%
[BHP Group PLC - UK] INTECH Investment Management LLC,USA,BHP,0.04%
[BHP Group PLC - UK] First Sentier Investors,Australia,BHP,0.04%
[BHP Group PLC - UK] Maple-Brown Abbott Ltd.,Australia,BHP,0.04%
[BHP Group PLC - UK] HSBC Global Asset Management (Hong Kong) Limited,Hong Kong,BHP,0.04%
[BHP Group PLC - UK] TD Asset Management Inc.,Canada,BHP,0.04%
[BHP Group PLC - UK] Northern Trust Global Investments,USA,BHP,0.04%
[BHP Group PLC - UK] Manulife Investment Management (US) LLC,USA,BHP,0.04%
[BHP Group PLC - UK] Universal-Investment-Gesellschaft mbH,Germany,BHP,0.04%
[BHP Group PLC - UK] Absa Asset Management (Pty) Limited,South Africa,BHP,0.04%
[BHP Group PLC - UK] Abu Dhabi Investment Authority,UAE,BHP,0.04%
[BHP Group PLC - UK] Pictet Asset Management Ltd.,UK,BHP,0.04%
[BHP Group PLC - UK] Aeon Investment Management (Pty) Ltd,South Africa,BHP,0.04%
[BHP Group PLC - UK] JPMorgan Asset Management,USA,BHP,0.04%
[BHP Group PLC - UK] Deutsche Asset Management Americas,USA,BHP,0.03%
"[BHP Group PLC - UK] Les Fils Dreyfus & Cie SA, Banquiers",Switzerland,BHP,0.03%
[BHP Group PLC - UK] AXA Rosenberg Investment Management LLC,USA,BHP,0.03%
[BHP Group PLC - UK] Seven Investment Management LLP,UK,BHP,0.03%
[BHP Group PLC - UK] Boutique Investment Partners (Pty) Ltd,South Africa,BHP,0.03%
[BHP Group PLC - UK] Eaton Vance Management,USA,BHP,0.03%
"[BHP Group PLC - UK] American Century Investment Management, Inc.",USA,BHP,0.03%
[BHP Group PLC - UK] Ashburton Fund Managers (Proprietary) Limited,South Africa,BHP,0.03%
[BHP Group PLC - UK] Grantham Mayo Van Otterloo & Co LLC,USA,BHP,0.03%
[BHP Group PLC - UK] Columbia Threadneedle Investments (UK),UK,BHP,0.03%
[BHP Group PLC - UK] Caisse de Depot et Placement du Quebec,Canada,BHP,0.03%
"[BHP Group PLC - UK] Los Angeles Capital Management And Equity Research, Inc.",USA,BHP,0.03%
[BHP Group PLC - UK] Taquanta Asset Managers (Pty) Ltd,South Africa,BHP,0.03%
[BHP Group PLC - UK] Janus Henderson Investors,UK,BHP,0.03%
[BHP Group PLC - UK] Vanguard Investments Australia Ltd.,Australia,BHP,0.03%
[BHP Group PLC - UK] DWS Investments Hong Kong Limited,Hong Kong,BHP,0.03%
[BHP Group PLC - UK] RBS Collective Investment Funds Limited,UK,BHP,0.03%
[BHP Group PLC - UK] Assenagon Asset Management S.A.,Germany,BHP,0.03%
[BHP Group PLC - UK] Helaba Invest Kapitalanlagegesellschaft mbH,Germany,BHP,0.03%
[BHP Group PLC - UK] Swedbank Robur Fonder AB,Sweden,BHP,0.03%
[BHP Group PLC - UK] Old Mutual Customised Solutions (Pty) Ltd,South Africa,BHP,0.03%
[BHP Group PLC - UK] Tilney Investment Management,UK,BHP,0.03%
[BHP Group PLC - UK] Amundi Deutschland GmbH,Germany,BHP,0.03%
[BHP Group PLC - UK] HSBC Global Asset Management (France) S.A.,France,BHP,0.03%
"[BHP Group PLC - UK] American Beacon Advisors, Inc.",USA,BHP,0.03%
[BHP Group PLC - UK] Liontrust Asset Management PLC,UK,BHP,0.03%
[BHP Group PLC - UK] British Columbia Investment Management Corp.,Canada,BHP,0.03%
[BHP Group PLC - UK] Mediolanum Asset Management Limited,Ireland,BHP,0.03%
[BHP Group PLC - UK] QMA LLC,USA,BHP,0.03%
[BHP Group PLC - UK] East Riding Pension Fund,UK,BHP,0.03%
[BHP Group PLC - UK] Candriam Belgium S.A.,Belgium,BHP,0.03%
[BHP Group PLC - UK] Fjärde AP-Fonden,Sweden,BHP,0.03%
[BHP Group PLC - UK] J. M. Finn & Co.,UK,BHP,0.02%
[BHP Group PLC - UK] Canada Life Investments,UK,BHP,0.02%
"[BHP Group PLC - UK] Thrivent Asset Management, LLC",USA,BHP,0.02%
"[BHP Group PLC - UK] Merck Finck & Co, Privatbankiers",Germany,BHP,0.02%
"[BHP Group PLC - UK] BlackRock Investment Management, LLC",USA,BHP,0.02%
[BHP Group PLC - UK] Oasis Asset Management Ltd.,South Africa,BHP,0.02%
[BHP Group PLC - UK] Personal Trust (Pty) Limited,South Africa,BHP,0.02%
[BHP Group PLC - UK] Aberdeen Standard Investments Inc.,USA,BHP,0.02%
"[BHP Group PLC - UK] Creutz & Partners, Global Asset Management S.A.",Luxembourg,BHP,0.02%
[BHP Group PLC - UK] Lombard Odier Darier Hentsch & Cie,Switzerland,BHP,0.02%
[BHP Group PLC - UK] OP Asset Management Limited,Finland,BHP,0.02%
[BHP Group PLC - UK] Amundi Asset Management,France,BHP,0.02%
[BHP Group PLC - UK] Close Brothers Asset Management,UK,BHP,0.02%
[BHP Group PLC - UK] Barratt & Cooke Limited,UK,BHP,0.02%
[BHP Group PLC - UK] CoreShares Asset Management (Pty) Ltd,South Africa,BHP,0.02%
[BHP Group PLC - UK] New York State Teachers' Retirement System,USA,BHP,0.02%
[BHP Group PLC - UK] CN Investment Division,Canada,BHP,0.02%
[BHP Group PLC - UK] Sanlam Multi-Manager International Limited,UK,BHP,0.02%
[BHP Group PLC - UK] Numeric Investors LLC,USA,BHP,0.02%
[BHP Group PLC - UK] LSV Asset Management,USA,BHP,0.02%
[BHP Group PLC - UK] Virginia Retirement System,USA,BHP,0.02%
[BHP Group PLC - UK] The Retirement Systems of Alabama,USA,BHP,0.02%
[BHP Group PLC - UK] Nottinghamshire County Council Pension Fund,UK,BHP,0.02%
[BHP Group PLC - UK] Laurium Capital (Pty) Ltd,South Africa,BHP,0.02%
"[BHP Group PLC - UK] Piedmont Investment Advisors, Inc",USA,BHP,0.02%
[BHP Group PLC - UK] Lazard Asset Management Limited,UK,BHP,0.02%
"[BHP Group PLC - UK] Sumitomo Mitsui DS Asset Management Company, Limited",Japan,BHP,0.02%
"[BHP Group PLC - UK] Bridgewater Associates, LP",USA,BHP,0.02%
[BHP Group PLC - UK] Brewin Dolphin Limited,UK,BHP,0.02%
[BHP Group PLC - UK] ARCA Fondi SGR S.p.A,Italy,BHP,0.02%
[BHP Group PLC - UK] Investec Asset Management Singapore Pte. Ltd.,Singapore,BHP,0.02%
[BHP Group PLC - UK] Chiron Investment Management LLC,USA,BHP,0.02%
[BHP Group PLC - UK] EdenTree Investment Management Limited,UK,BHP,0.02%
[BHP Group PLC - UK] Oddo BHF Asset Management GmbH,Germany,BHP,0.02%
[BHP Group PLC - UK] AEGON Investment Management B.V.,Netherlands,BHP,0.02%
[BHP Group PLC - UK] Trexquant Investment LP,USA,BHP,0.02%
[BHP Group PLC - UK] Anima SGR S.p.A.,Italy,BHP,0.02%
"[BHP Group PLC - UK] IM Asset Management, Ltd.",UK,BHP,0.02%
"[BHP Group PLC - UK] SunAmerica Asset Management, LLC",USA,BHP,0.02%
[BHP Group PLC - UK] Mirae Asset Global Investments (USA) LLC,USA,BHP,0.02%
[BHP Group PLC - UK] Callan LLC,USA,BHP,0.02%
[BHP Group PLC - UK] Employees Retirement System of Texas,USA,BHP,0.02%
[BHP Group PLC - UK] Mellon Investments Corporation,USA,BHP,0.02%
[BHP Group PLC - UK] Standard Life Investments (Corporate Funds) Ltd,UK,BHP,0.02%
[BHP Group PLC - UK] Keva,Finland,BHP,0.02%
[BHP Group PLC - UK] State Street Global Advisors Asia Ltd.,Hong Kong,BHP,0.02%
[BHP Group PLC - UK] New Mexico State Investment Council,USA,BHP,0.02%
[BHP Group PLC - UK] Vestcor Investment Management Corporation,Canada,BHP,0.02%
[BHP Group PLC - UK] Voya Investment Management LLC,USA,BHP,0.02%
[BHP Group PLC - UK] JPMorgan Asset Management (Hong Kong) Ltd.,Hong Kong,BHP,0.02%
"[BHP Group PLC - UK] Wellington Management Company, LLP",USA,BHP,0.02%
[BHP Group PLC - UK] KBC Fund Management Limited,Ireland,BHP,0.02%
[BHP Group PLC - UK] DNB Asset Management AS,Norway,BHP,0.02%
[BHP Group PLC - UK] AllianceBernstein L.P.,USA,BHP,0.02%
[BHP Group PLC - UK] Eurizon Capital S.A.,Luxembourg,BHP,0.02%
[BHP Group PLC - UK] FOCAM AG,Germany,BHP,0.02%
[BHP Group PLC - UK] Danske Capital,Denmark,BHP,0.02%
[BHP Group PLC - UK] Rahn+Bodmer Co.,Switzerland,BHP,0.02%
[BHP Group PLC - UK] Quilter Investors Limited,UK,BHP,0.02%
[BHP Group PLC - UK] Momentum Collective Investments (RF) (Pty) Ltd.,South Africa,BHP,0.02%
[BHP Group PLC - UK] Sygnia Asset Management,South Africa,BHP,0.02%
"[BHP Group PLC - UK] Sumitomo Mitsui Trust Bank, Limited",Japan,BHP,0.02%
[BHP Group PLC - UK] Luzerner Kantonalbank,Switzerland,BHP,0.02%
"[BHP Group PLC - UK] Deutsche Asset Management, S.G.I.I.C., S.A.",Spain,BHP,0.02%
[BHP Group PLC - UK] Fidelity Investments Canada ULC,Canada,BHP,0.01%
[BHP Group PLC - UK] La Banque Postale Asset Management,France,BHP,0.01%
[BHP Group PLC - UK] BMO Asset Management Inc.,Canada,BHP,0.01%
[BHP Group PLC - UK] Aylett & Company (Pty) Ltd,South Africa,BHP,0.01%
[BHP Group PLC - UK] Polar Capital LLP,UK,BHP,0.01%
[BHP Group PLC - UK] State Street Global Advisors Ltd. (Canada),Canada,BHP,0.01%
[BHP Group PLC - UK] MEAG Munich ERGO Kapitalanlagegesellschaft mbH,Germany,BHP,0.01%
[BHP Group PLC - UK] Satrix Managers (RF) (Pty) Ltd,South Africa,BHP,0.01%
[BHP Group PLC - UK] Mackenzie (Andrew),Australia,BHP,0.01%
[BHP Group PLC - UK] FIM Asset Management Ltd.,Finland,BHP,0.01%
[BHP Group PLC - UK] Invesco Capital Management LLC,USA,BHP,0.01%
[BHP Group PLC - UK] Degussa Bank AG,Germany,BHP,0.01%
[BHP Group PLC - UK] NNIP Asset Management B.V.,Netherlands,BHP,0.01%
[BHP Group PLC - UK] MFS Investment Management,USA,BHP,0.01%
[BHP Group PLC - UK] Church House Investments Limited,UK,BHP,0.01%
[BHP Group PLC - UK] Nordea Funds Oy,Finland,BHP,0.01%
[BHP Group PLC - UK] Fideuram Asset Management (Ireland) dac,Ireland,BHP,0.01%
"[BHP Group PLC - UK] Hanwha Asset Management Co., Ltd.",South Korea,BHP,0.01%
[BHP Group PLC - UK] Aberdeen Standard Investments Australia Limited,Australia,BHP,0.01%
[BHP Group PLC - UK] a.s.r. vermogensbeheer,Netherlands,BHP,0.01%
[BHP Group PLC - UK] Henry (Mike),UK,BHP,0.01%
[BHP Group PLC - UK] Visio Capital Management (Pty) Ltd.,South Africa,BHP,0.01%
"[BHP Group PLC - UK] Sabadell Asset Management, S.A., S.G.I.I.C., Sociedad Unipersonal",Spain,BHP,0.01%
"[BHP Group PLC - UK] Putnam Investment Management, L.L.C.",USA,BHP,0.01%
[BHP Group PLC - UK] CIBC Asset Management Inc.,Canada,BHP,0.01%
[BHP Group PLC - UK] Artemis Investment Management LLP,UK,BHP,0.01%
[BHP Group PLC - UK] LLB Asset Management AG,Liechtenstein,BHP,0.01%
[BHP Group PLC - UK] Malchuk (Daniel),Australia,BHP,0.01%
"[BHP Group PLC - UK] Nomura Asset Management Co., Ltd.",Japan,BHP,0.01%
"[BHP Group PLC - UK] Caixabank Asset Management SGIIC, S.A.U.",Spain,BHP,0.01%
[BHP Group PLC - UK] Alexander Forbes Investments Limited.,South Africa,BHP,0.01%
[BHP Group PLC - UK] Allianz Global Investors France,France,BHP,0.01%
[BHP Group PLC - UK] Credit Mutuel Asset Management,France,BHP,0.01%
[BHP Group PLC - UK] Nordea Investment Management AB (Denmark),Denmark,BHP,0.01%
[BHP Group PLC - UK] Julius Baer International Ltd.,UK,BHP,0.01%
[BHP Group PLC - UK] Mediolanum International Funds Limited,Ireland,BHP,0.01%
[BHP Group PLC - UK] Royal London Asset Management (CIS) Limited,UK,BHP,0.01%
[BHP Group PLC - UK] Schoellerbank Invest AG,Austria,BHP,0.01%
[BHP Group PLC - UK] Deutsche Asset Management (UK) Limited,UK,BHP,0.01%
[BHP Group PLC - UK] Prescient Investment Management (Pty) Ltd.,South Africa,BHP,0.01%
[BHP Group PLC - UK] UOB Asset Management Ltd.,Singapore,BHP,0.01%
[BHP Group PLC - UK] Merian Global Investors (UK) Limited,UK,BHP,0.01%
[BHP Group PLC - UK] Bateleur Capital (Pty) Ltd.,South Africa,BHP,0.01%
[BHP Group PLC - UK] Allianz Global Investors U.S. LLC,USA,BHP,0.01%
[BHP Group PLC - UK] 36ONE Asset Management (Pty) Ltd,South Africa,BHP,0.01%
[BHP Group PLC - UK] BOCI-Prudential Asset Management Ltd.,Hong Kong,BHP,0.01%
[BHP Group PLC - UK] TOP Vermögensverwaltung AG,Germany,BHP,0.01%
[BHP Group PLC - UK] Metropolitan Life Insurance Co. (US),USA,BHP,0.01%
[BHP Group PLC - UK] 3 Banken-Generali Investment-Gesellschaft mbH,Austria,BHP,0.01%
[BHP Group PLC - UK] Lyxor Funds Solutions S.A.,Luxembourg,BHP,0.01%
[BHP Group PLC - UK] Federated Investment Management Company,USA,BHP,0.01%
[BHP Group PLC - UK] First Private Investment Management KAG mbH,Germany,BHP,0.01%
[BHP Group PLC - UK] Nedgroup Investment Advisors (Pty) Ltd,South Africa,BHP,0.01%
[BHP Group PLC - UK] SEB Investment Management AB,Sweden,BHP,0.01%
[BHP Group PLC - UK] Helvetia Versicherungen,Switzerland,BHP,0.01%
[BHP Group PLC - UK] Investec Bank (Switzerland) AG,Switzerland,BHP,0.01%
[BHP Group PLC - UK] Mazi Capital (Pty) Ltd,South Africa,BHP,0.01%
[BHP Group PLC - UK] Union Investment Privatfonds GmbH,Germany,BHP,0.01%
"[BHP Group PLC - UK] UBS Asset Management (Americas), Inc.",USA,BHP,0.01%
[BHP Group PLC - UK] Vunani Fund Managers (Pty) Ltd.,South Africa,BHP,0.01%
"[BHP Group PLC - UK] Cohen & Steers Capital Management, Inc.",USA,BHP,0.01%
"[BHP Group PLC - UK] Validea Capital Management, LLC",USA,BHP,0.01%
[BHP Group PLC - UK] Private Client Portfolios ( Pty ) Ltd,South Africa,BHP,0.01%
[BHP Group PLC - UK] SEI Investments Management Corporation,USA,BHP,0.01%
[BHP Group PLC - UK] Waverton Investment Management Ltd.,UK,BHP,0.01%
[BHP Group PLC - UK] Mackenzie Financial Corporation,Canada,BHP,0.01%
[BHP Group PLC - UK] HSBC Global Asset Management (Bermuda) Limited,Bermuda,BHP,0.01%
[BHP Group PLC - UK] Hexavest Inc.,Canada,BHP,<0.01%
