Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
China Shenhua,Wulan,,100,China,Underground,Coal,Operational,,1975,,38.8387,105.648,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Wulanmulun,,100,China,Underground,Coal,Operational,,1992,,39.2667,110.2167,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Wulantuga,,100,China,Open-pit,Coal,Operational,,1974,,43.942576,116.221056,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Yujialiang,,100,China,Underground,Coal,Operational,,2001,,39.0073,110.4633,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Amkola,"ECL, Cluster 9",100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Amlabad,"BCCL, Eastern Jharia, Cluster X",100,India,Underground,Coal,Operational,,,,23.6788,86.3781,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Amlo,"CCL, Dhori",100,India,Open-pit,Coal,Operational,,,,24.394,86.7431,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Amlohri,NCL,100,India,,Coal,Operational,,,,24.127,82.5828,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Amrapali,"CCL, Magadh Amrapali",100,India,Open-pit,Coal,Operational,,,,23.8872,85.0049,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Amrasota,"ECL, Cluster 10",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
